FECHA,ALEMANIA,ARABIA SAUDITA,ARGENTINA,AUSTRALIA,BRASIL,CANADÁ,CHINA,COREA DEL SUR,ESTADOS UNIDOS,FRANCIA,INDIA,INDONESIA,ITALIA,JAPÓN,MÉXICO,REINO UNIDO,RUSIA,SUDÁFRICA,TURQUÍA
2020,9.30,16.81,16.64,11.50,13.46,9.40,8.52,5.30,10.90,10.90,17.44,17.45,6.80,6.80,17.01,10.20,9.80,19.77,13.30
2019,9.40,17.30,16.83,12.10,13.70,9.90,10.41,5.90,11.40,11.20,17.64,17.75,7.00,7.00,17.30,10.70,10.10,20.13,14.30
2018,9.50,17.80,17.02,12.60,13.92,10.10,10.86,6.40,11.60,11.30,17.86,18.07,7.30,7.40,17.60,11.00,10.90,20.51,15.30
2017,9.50,18.32,17.21,12.60,14.13,10.30,12.64,7.00,11.80,11.50,18.08,18.42,7.60,7.60,17.92,11.40,11.50,20.91,16.10
2016,9.60,18.86,17.38,12.90,14.31,10.60,13.57,7.90,12.20,11.80,18.33,18.79,7.80,7.80,18.25,11.80,12.90,21.31,16.50
2015,9.00,19.41,17.55,12.90,14.47,10.70,11.99,8.60,12.40,12.00,18.63,19.17,8.00,8.00,18.57,11.90,13.30,21.72,16.90
2014,8.80,19.97,17.70,13.20,14.62,10.80,13.83,8.60,12.50,12.40,18.98,19.54,8.30,8.00,18.89,12.00,13.20,22.11,17.30
2013,8.50,20.53,17.83,13.30,14.77,10.80,12.08,8.60,12.40,12.40,19.42,19.89,8.50,8.20,19.20,12.10,13.20,22.48,16.80
2012,8.40,21.08,17.95,13.70,14.93,11.00,12.10,9.60,12.60,12.60,19.92,20.23,9.00,8.20,19.49,12.80,13.30,22.82,17.00
2011,8.30,21.61,18.06,13.60,15.11,11.00,11.93,9.40,12.70,12.70,20.50,20.53,9.20,8.30,19.77,12.80,12.60,23.10,16.70
2010,8.30,22.12,18.15,13.70,15.33,11.10,11.90,9.40,13.00,12.90,21.11,20.80,9.50,8.50,20.04,12.90,12.60,23.31,16.90
2009,8.10,22.60,18.25,13.90,15.60,11.30,11.95,9.00,13.50,12.80,21.76,21.03,9.60,8.50,20.33,12.70,12.40,23.42,17.50
2008,8.30,23.04,18.36,14.00,15.92,11.40,12.14,9.40,14.00,12.90,22.39,21.25,9.80,8.70,20.64,12.90,12.10,23.43,18.20
2007,8.30,23.46,18.47,14.10,16.31,11.20,12.10,10.10,14.30,12.80,23.00,21.45,9.70,8.63,20.97,12.60,11.30,23.37,18.40
2006,8.20,23.85,18.60,12.90,16.75,10.90,12.09,9.20,14.30,13.10,23.56,21.62,9.60,8.65,21.34,12.30,10.40,23.24,18.10
2005,8.30,24.24,18.74,12.80,17.24,10.60,12.40,9.00,14.00,12.80,24.09,21.77,9.60,8.41,21.74,12.00,10.20,23.07,18.20
2004,8.60,24.61,18.88,12.30,17.79,10.60,12.29,9.80,14.00,12.80,24.57,21.85,9.80,8.69,22.16,11.90,10.40,22.90,18.10
2003,8.60,24.99,19.03,12.60,18.36,10.60,12.41,10.20,14.10,12.80,25.03,21.88,9.50,9.20,22.58,11.70,10.20,22.76,18.00
2002,8.70,25.40,19.18,12.80,18.96,10.50,12.86,10.30,14.00,12.90,25.49,21.86,9.40,9.30,23.01,11.30,9.60,22.69,18.60
2001,8.90,25.85,19.33,12.70,19.55,10.80,13.38,11.70,14.10,13.10,25.94,21.81,9.40,9.30,23.43,11.30,9.00,22.72,20.30
2000,9.30,26.38,19.50,13.00,20.12,10.70,14.03,13.50,14.40,13.30,26.40,21.77,9.50,9.40,23.85,11.50,8.60,22.85,21.10
