NOMBRE,PAIS,CONTINENTE,EDAD,FECHA_NOMBRAMIENTO,CARGO
Arthur Roche,826,4,72,27/08/22,1
Lazzaro You Heung-sik,410,3,70,27/08/22,1
"Fernando Vérgez Alzaga, L.C.",724,4,77,27/08/22,1
Jean-Marc Aveline,250,4,63,27/08/22,0
Peter Ebere Okpaleke,566,1,59,27/08/22,0
"Leonardo Ulrich Steiner, O.F.M.",76,2,71,27/08/22,0
Filipe Neri António Sebastião do Rosário Ferrão,356,3,69,27/08/22,0
Robert Walter McElroy,840,2,68,27/08/22,0
"Virgílio do Carmo da Silva, S.D.B.",626,3,54,27/08/22,0
Oscar Cantoni,380,4,71,27/08/22,0
Anthony Poola,356,3,60,27/08/22,0
Paulo Cezar Costa,76,2,55,27/08/22,0
"Richard Kuuia Baawobr, M. Afr.",288,1,63,27/08/22,0
William Goh Seng Chye,702,3,65,27/08/22,0
Adalberto Martínez Flores,600,2,71,27/08/22,0
"Giorgio Marengo, I.M.C.",496,3,48,27/08/22,0
Jorge Enrique Jiménez Carvajal,170,2,80,27/08/22,0
Arrigo Miglio,380,4,80,27/08/22,0
"Gianfranco Ghirlanda, S.I.",380,4,80,27/08/22,0
Fortunato Frezza,380,4,80,27/08/22,0
Vinko Puljic,70,4,76,26/11/94,1
Polycarp Pengo,834,1,78,21/02/98,0
"Christoph Schönborn, O.P.",40,4,77,21/02/98,0
Crescenzio Sepe,380,4,79,21/02/01,0
"Óscar Andrés Rodríguez Maradiaga, S.D.B.",340,2,79,21/02/01,0
Juan Luis Cipriani Thorne,604,2,78,21/02/01,0
Peter Kodwo Appiah Turkson,288,1,73,21/10/03,0
Josip Bozanic,191,4,73,21/10/03,0
Philippe Barbarin,250,4,71,21/10/03,0
Péter Erdo,348,4,70,21/10/03,0
"Marc Ouellet, P.S.S.",124,2,78,21/10/03,1
Jean-Pierre Ricard,250,4,77,24/03/06,0
Antonio Cañizares Llovera,724,4,76,24/03/06,0
"Seán Patrick O'Malley, O.F.M. Cap.",840,2,78,24/03/06,0
Leonardo Sandri,32,2,78,24/11/07,0
Angelo Comastri,380,4,78,24/11/07,0
Stanislaw Rylko,616,4,77,24/11/07,0
André Vingt-Trois,250,4,79,24/11/07,0
Angelo Bagnasco,380,4,79,24/11/07,0
Oswald Gracias,356,3,77,24/11/07,0
Francisco Robles Ortega,484,2,73,24/11/07,0
Daniel N. DiNardo,840,2,73,24/11/07,0
Odilo Pedro Scherer,76,2,72,24/11/07,0
John Njue,404,1,77,24/11/07,0
Robert Sarah,324,1,77,20/11/10,1
Raymond Leo Burke,840,2,74,20/10/10,0
Kurt Koch,756,4,72,20/11/10,1
Mauro Piacenza,380,4,77,20/11/10,1
Gianfranco Ravasi,380,4,79,20/11/10,1
Kazimierz Nycz,616,4,72,20/11/10,0
Albert Malcolm Ranjith Patabendige Don,144,3,74,20/11/10,0
Reinhard Marx,276,4,68,20/11/10,0
Fernando Filoni,380,4,76,18/02/12,1
Giuseppe Bertello,380,4,79,18/02/12,1
João Braz de Aviz,76,2,75,18/02/12,1
Domenico Calcagno,380,4,79,18/02/12,1
Giuseppe Versaldi,380,4,79,18/02/12,1
George Alencherry,356,3,77,18/02/12,0
Thomas Christopher Collins,124,2,75,18/02/12,0
"Dominik Duka, O.P.",65,4,79,18/02/12,0
Willem Jacobus Eijk,528,4,69,18/02/12,0
Giuseppe Betori,380,4,75,18/02/12,0
Timothy Michael Dolan,840,2,72,18/02/12,0
Rainer Maria Woelki,276,4,65,18/02/12,0
James Michael Harvey,840,2,72,24/11/12,1
Baselios Cleemis Thottunkal,356,3,63,24/11/12,0
John Olorunfemi Onaiyekan,566,1,78,24/11/12,0
Rubén Salazar Gómez,170,2,79,24/11/12,0
Luis Antonio Tagle,608,3,65,24/11/12,1
Pietro Parolin,380,4,67,22/02/14,1
Gerhard Ludwig Müller,276,4,74,22/02/14,1
Vincent Gerard Nichols,826,4,76,22/02/14,0
Leopoldo José Brenes Solórzano,558,2,73,22/02/14,0
Gérald Cyprien Lacroix,124,2,65,22/02/14,0
