"","","Nombre","País","Fecha de nacimiento","Edad","Creado por","Fecha de nombramiento","Titulus","Cargo"
"1",1,"Vinko Puljić","Bosnia y Herzegovina Bosnia y Herzegovina","08/09/1945","76 años","Juan Pablo II","26/11/1994","Cardenal presbítero de Santa Clara en Viña Clara","Arzobispo emérito de Sarajevo"
"2",2,"Polycarp Pengo","Tanzania Tanzania","05/08/1944","78 años","Juan Pablo II","21/02/1998","Cardenal presbítero de Nuestra Señora de La Salette","Arzobispo emérito de Dar-es-Salaam"
"3",3,"Christoph Schönborn, O.P.","Austria Austria","22/01/1945","77 años","Juan Pablo II","21/02/1998","Cardenal presbítero de Jesús Divino Obrero","Arzobispo de Viena
Ordinario para los fieles de rito bizantino en Austria"
"4",4,"Crescenzio Sepe","Italia Italia","02/06/1943","79 años","Juan Pablo II","21/02/2001","Cardenal presbítero pro hac vice de Dios Padre misericordioso","Arzobispo emérito de Nápoles
Prefecto emérito de la Congregación para la Evangelización de los Pueblos[7]"
"5",5,"Óscar Andrés Rodríguez Maradiaga, S.D.B.","Honduras Honduras","29/12/1942","79 años","Juan Pablo II","21/02/2001","Cardenal presbítero de Santa María de la Esperanza","Arzobispo de Tegucigalpa Coordinador del Consejo de Cardenales"
"6",6,"Juan Luis Cipriani Thorne","PerúPerú","28/12/1943","78 años","Juan Pablo II","21/02/2001","Cardenal presbítero de San Camilo de Lelis","Arzobispo emérito de Lima"
"7",7,"Peter Kodwo Appiah Turkson","Ghana Ghana","11/10/1948","73 años","Juan Pablo II","21/10/2003","Cardenal presbítero de San Liborio","Canciller de la Pontificia Academia de las Ciencias y de la Pontificia Academia de las Ciencias Sociales,
Prefecto emérito del Dicasterio para el Servicio del Desarrollo Humano Integral 
Arzobispo emérito de Cape Coast (Ghana)[8]"
"8",8,"Josip Bozanić","Croacia Croacia","29/03/1949","73 años","Juan Pablo II","21/10/2003","Cardenal presbítero de San Jerónimo de los Croatas","Arzobispo de Zagreb"
"9",9,"Philippe Barbarin","Francia","17/10/1950","71 años","Juan Pablo II","21/10/2003","Cardenal presbítero de Santísima Trinidad en Monte Pincio","Arzobispo emérito de Lyon"
"10",10,"Péter Erdő","Hungría Hungría","25/06/1952","70 años","Juan Pablo II","21/10/2003","Cardenal presbítero de Santa Balbina","Arzobispo de Esztergom-Budapest"
"11",11,"Marc Ouellet, P.S.S.","Canadá Canadá","08/06/1944","78 años","Juan Pablo II","21/10/2003","Cardenal obispo de Santa María en Traspontina pro hac vice","Prefecto de la Congregación para los Obispos Presidente de la Pontificia Comisión para América Latina
Arzobispo emérito de Quebec (Canadá)[9]"
"12",12,"Jean-Pierre Ricard","Francia","25/09/1944","77 años","Benedicto XVI","24/03/2006","Cardenal presbítero de San Agustín","Arzobispo emérito de Burdeos"
"13",13,"Antonio Cañizares Llovera","España España","15/10/1945","76 años","Benedicto XVI","24/03/2006","Cardenal presbítero de San Pancracio extramuros","Arzobispo de Valencia
Prefecto emérito de la Congregación para el Culto Divino y la Disciplina de los Sacramentos[10]"
"14",14,"Seán Patrick O'Malley, O.F.M. Cap.","Estados Unidos","29/06/1944","78 años","Benedicto XVI","24/03/2006","Cardenal presbítero de Santa María de la Victoria","Arzobispo de Boston y
Presidente de la Comisión Pontificia para la Protección de Menores 
Miembro del Consejo de Cardenales"
"15",15,"Leonardo Sandri","Argentina","18/11/1943","78 años","Benedicto XVI","24/11/2007","Cardenal obispo de Santos Blas y Carlos en Catinari pro hac vice","Prefecto de la Congregación para las Iglesias Orientales
Vice-decano del Colegio de Cardenales"
"16",16,"Angelo Comastri","Italia Italia","17/09/1943","78 años","Benedicto XVI","24/11/2007","Cardenal presbítero de San Salvador en Lauro pro hac vice","Vicario general emérito de la Ciudad del Vaticano,
arcipreste emérito de la Basílica de San Pedro y presidente emérito de la Fábrica de San Pedro"
"17",17,"Stanisław Ryłko","Polonia Polonia","04/07/1945","77 años","Benedicto XVI","24/11/2007","Cardenal presbítero del Sagrado Corazón de Cristo Rey pro hac vice","Presidente emérito del Pontificio Consejo para los Laicos
Arcipreste de la Basílica Papal de Santa María la Mayor"
"18",18,"André Vingt-Trois","Francia","07/11/1942","79 años","Benedicto XVI","24/11/2007","Cardenal presbítero de San Luis de los Franceses","Arzobispo emérito de París"
"19",19,"Angelo Bagnasco","Italia Italia","14/01/1943","79 años","Benedicto XVI","24/11/2007","Cardenal presbítero de Gran Madre de Dios","Arzobispo emérito de Génova"
"20",20,"Oswald Gracias","India","24/12/1944","77 años","Benedicto XVI","24/11/2007","Cardenal presbítero de San Pablo de la Cruz en Corviale","Arzobispo de Bombay
Miembro del Consejo de Cardenales 
Presidente de la Conferencia de los obispos católicos de India"
"21",21,"Francisco Robles Ortega","MéxicoMéxico","02/03/1949","73 años","Benedicto XVI","24/11/2007","Cardenal presbítero de Santa María de la Presentación","Arzobispo de Guadalajara"
"22",22,"Daniel N. DiNardo","Estados Unidos","23/05/1949","73 años","Benedicto XVI","24/11/2007","Cardenal presbítero de San Eusebio","Arzobispo de Galveston-Houston"
"23",23,"Odilo Pedro Scherer","Brasil Brasil","21/09/1949","72 años","Benedicto XVI","24/11/2007","Cardenal presbítero de San Andrés del Quirinal","Arzobispo de São Paulo"
