"","","Nombre","Nacionalidad","Fecha de nacimiento","Edad","Creado por","Fecha de nombramiento","Titulus","Cargo"
"1",1,"Santos Abril y Castelló","España España","21/09/1935","86 años","Benedicto XVI","18/02/2012","Cardenal presbítero pro hac vice de San Ponciano","Arcipreste emérito de la Basílica de Santa María la Mayor
Presidente de la Comisión Cardenalicia de Vigilancia del Instituto para las Obras de Religión (IOR) 
Nuncio apostólico"
"2",2,"Geraldo Majella Agnelo","Brasil Brasil","19/10/1933","88 años","Juan Pablo II","21/02/2001","Cardenal presbítero de San Gregorio Magno en Magliana Nuevo","Arzobispo emérito de Salvador de Bahía"
"3",3,"Angelo Amato, S.D.B.","Italia Italia","08/06/1938","84 años","Benedicto XVI","20/11/2010","Cardenal presbítero de Santa María en Aquiro pro hac vice","Prefecto emérito de la Congregación para las Causas de los Santos"
"4",4,"Ennio Antonelli","Italia Italia","18/11/1936","85 años","Juan Pablo II","21/10/2003","Cardenal presbítero de San Andrés de las Malezas","Presidente emérito del Pontificio Consejo para la Familia"
"5",5,"Francis Arinze","Nigeria Nigeria","01/11/1932","89 años","Juan Pablo II","25/05/1985","Cardenal obispo de Velletri-Segni","Prefecto emérito de la Congregación para el Culto Divino y la Disciplina de los Sacramentos"
"6",6,"Felipe Arizmendi Esquivel","MéxicoMéxico","1/5/1940","82 años","Francisco","28/11/2020","Cardenal Presbítero de San Luis María Grignion de Montfort","Obispo emérito de San Cristóbal de las Casas"
"7",7,"Raymundo Damasceno Assis","Brasil Brasil","15/02/1937","85 años","Benedicto XVI","20/11/2010","Cardenal presbítero de la Inmaculada Concepción en Tiburtino","Arzobispo emérito de Aparecida"
"8",8,"Audrys Juozas Bačkis","Lituania Lituania","01/02/1937","85 años","Juan Pablo II","21/02/2001","Cardenal Presbítero de Natividad de Nuestro Señor Jesucristo en Vía Gallia","Arzobispo emérito de Vilnius"
"9",9,"Lorenzo Baldisseri","Italia Italia","29/09/1940","81 años","Francisco","22/02/2014","Cardenal diácono de San Anselmo en Aventino","Secretario General emérito del Sínodo de los Obispos"
"10",10,"Gualtiero Bassetti","Italia Italia","07/04/1942","80 años","Francisco","22/02/2014","Cardenal presbítero de Santa Cecilia del Trastevere","Arzobispo de Perugia-Città della Pieve"
"11",11,"Giovanni Angelo Becciu[22]​[23]","Italia Italia","2/06/1948","74 años","Francisco","28/06/2018","Cardenal diácono de San Lino (sin derechos cardenalicios)","Prefecto emérito de la Congregación para las Causas de los Santos y exdelegado especial para la Soberana Orden Militar Hospitalaria de San Juan de Jerusalén de Rodas y de Malta"
"12",12,"Tarcisio Bertone, S.D.B.","Italia Italia","02/12/1934","87 años","Juan Pablo II","21/10/2003","Cardenal obispo de Frascati","Secretario de Estado emérito de la Santa Sede y Camarlengo emérito de la Santa Iglesia Romana"
"13",13,"Ricardo Blázquez Pérez","España España","13/04/1942","80 años","Francisco","14/02/2015","Cardenal presbítero de Santa Maria in Vallicella","Arzobispo emérito de Valladolid"
"14",14,"Aquilino Bocos Merino, C.M.F.","España España","17/05/1938","84 años","Francisco","28/06/2018","Cardenal diácono de Santa Lucia del Gonfalone","Superior general de los Claretianos entre 1991 y 2003"
"15",15,"Seán Baptist Brady","Irlanda","16/08/1939","83 años","Benedicto XVI","24/11/2007","Cardenal presbítero de Santos Quirico y Julita","Arzobispo emérito de Armagh"
"16",16,"Walter Brandmüller","Alemania Alemania","05/01/1929","93 años","Benedicto XVI","20/11/2010","Cardenal presbítero de San Julián de los flamencos pro hac vice","Presidente Emérito del Comité Pontificio de Ciencias Históricas"
"17",17,"Raniero Cantalamessa, O.F.M.Cap.","Italia Italia","22/7/1934","88 años","Francisco","28/11/2020","Cardenal diácono de San Apolinar en las Termas Neronianas-Alejandrinas","Predicador de la Casa Pontificia"
"18",18,"Francesco Coccopalmerio","Italia Italia","06/03/1938","84 años","Benedicto XVI","18/02/2012","Cardenal presbítero pro hac vice de San José de los Carpinteros","Presidente emérito del Consejo Pontificio para los Textos Legislativos"
"19",19,"Paul Josef Cordes","Alemania Alemania","05/09/1934","87 años","Benedicto XVI","24/11/2007","Cardenal diácono de San Lorenzo en Piscibus","Presidente emérito del Pontificio Consejo ""Cor Unum"""
"20",20,"Eugenio Dal Corso, P.S.D.P.","Angola Angola","16/05/1939","83 años","Francisco","5/10/2019","Cardenal presbítero de Santa Anastasia","Obispo emérito de Benguela"
