WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
213,ARG,Argentina,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2022,479.956,458.795,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.377,693.224,624.295,689.211,717.034,2020
213,ARG,Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.617,-2.001,-9.943,10.398,4.037,2020
213,ARG,Argentina,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2022,317.759,300.421,349.486,420.292,485.115,582.538,715.904,896.98,"1,149.65","1,247.93","1,661.72","2,179.02","2,637.91","3,348.31","4,579.09","5,954.51","8,228.16","10,660.23","14,744.81","21,802.26","27,481.44","46,282.07","81,755.64",2020
213,ARG,Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,451.815,389.064,486.702,630.698,2020
213,ARG,Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",427.907,418.256,378.498,420.534,470.303,527.986,588.077,658.373,698.222,661.108,736.799,797.264,819.698,849.616,839.897,867.177,885.228,"1,039.33","1,036.31","1,033.74",942.17,"1,083.36","1,207.23",2020
213,ARG,Argentina,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",66.206,65.48,85.488,94.358,100,110.318,125.476,144.222,177.64,204.957,247.824,306.567,374.977,464.78,652.007,825.311,"1,164.67","1,467.56","2,084.43","3,145.05","4,402.00","6,715.23","11,401.93",2020
213,ARG,Argentina,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,048.00","12,347.75","10,897.11","11,761.97","12,690.70","13,682.99","14,640.50","15,802.84","16,282.96","15,170.84","16,439.06","17,226.27","16,856.72","17,070.07","16,459.21","16,727.44","16,207.20","16,492.07","15,898.09","15,425.98","13,754.60","15,034.49","15,486.55",2010
213,ARG,Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,669.29","17,667.36","15,591.77","16,829.23","18,158.06","19,577.84","20,947.87","22,610.96","23,297.92","21,706.68","23,521.27","24,647.63","24,118.87","24,424.14","23,550.10","23,933.89","23,189.53","23,597.12","22,747.24","22,071.75","19,680.30","21,511.59","22,158.41",2010
213,ARG,Argentina,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,638.54","8,085.36","9,315.73","11,098.37","12,690.70","15,094.73","18,370.36","22,791.23","28,925.11","31,093.74","40,739.99","52,810.12","63,208.89","79,338.29","107,315.21","138,053.32","188,760.96","242,031.43","331,385.00","485,155.34","605,476.78","1,009,600.06","1,765,765.35",2010
213,ARG,Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,638.54","8,085.36","2,997.62","3,761.09","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,618.33","11,786.43","10,054.02","8,571.94","10,616.95","13,621.86",2010
