FOLIO,SEXO,EDAD,CARRERA,ZONA_PERTENENCIA ,CUBREBOCAS_NECESARIO,OBLIGACION_NECESIDAD,CUBREBOCAS_TRANSPORTE,COVID_PROTEGE,CASO_COVID,FACTOR_NO_USO,EFECTO_ECONOMIA,VACUNA_PROTEGE
1,1,18,1,2,2,1,2,1,1,2,2,2
2,1,19,1,1,1,1,1,2,2,1,2,2
3,1,18,1,2,1,2,1,2,2,3,1,1
4,1,19,1,1,1,1,1,2,2,3,1,1
5,1,18,1,1,1,1,1,1,2,4,1,2
6,1,19,1,2,1,1,1,1,2,4,2,2
7,1,18,1,1,1,2,1,1,2,3,2,2
8,1,19,1,1,2,2,1,1,2,3,1,2
9,1,18,1,2,1,2,1,1,2,4,1,2
10,1,19,1,1,1,1,1,2,2,4,2,2
11,1,18,1,1,1,2,2,1,2,4,1,2
12,1,20,1,2,1,2,2,1,2,2,2,2
13,2,20,1,1,1,2,1,1,2,1,2,2
14,1,18,1,2,2,2,1,1,2,3,1,2
15,2,21,1,1,1,2,1,1,2,3,1,2
16,1,18,1,1,1,2,1,2,2,4,1,2
17,1,19,1,2,1,2,1,2,1,4,1,2
18,1,18,1,1,1,1,1,2,2,3,2,2
19,1,18,1,1,1,1,1,1,2,1,1,1
20,1,18,1,2,1,1,1,1,2,3,1,1
21,2,22,1,1,2,2,1,1,2,4,1,2
22,2,18,1,2,1,2,1,1,2,4,1,2
23,1,19,1,1,1,1,1,1,2,2,2,2
24,1,20,1,2,1,1,1,1,2,3,2,2
25,1,19,1,1,1,1,1,1,2,3,1,2
26,1,20,1,2,1,1,1,2,2,4,1,2
27,1,19,1,1,2,2,1,1,2,1,1,2
28,1,20,1,1,1,1,1,1,1,3,1,2
29,1,19,1,2,1,1,2,1,2,4,2,2
30,1,20,1,1,1,1,2,2,2,4,1,2
31,1,19,1,1,1,1,1,2,2,4,1,2
32,1,20,1,2,2,2,1,1,2,2,1,2
33,1,19,1,1,1,2,1,1,2,3,4,2
34,1,20,1,1,1,1,1,1,2,3,1,2
35,1,19,1,2,1,1,1,1,2,1,1,2
36,1,20,1,1,1,1,1,1,2,4,1,2
37,1,19,1,1,2,1,1,2,2,4,2,2
38,1,20,1,2,1,1,2,1,2,2,1,2
39,2,19,1,1,1,1,1,1,2,4,1,2
40,1,19,1,1,1,2,1,1,2,4,1,2
41,2,19,1,2,1,2,1,1,2,3,1,2
42,2,19,1,1,1,1,1,2,1,3,1,2
43,1,19,1,2,2,1,1,1,2,4,1,2
44,2,18,1,1,1,1,1,1,2,2,2,1
45,1,19,1,1,1,1,1,1,2,4,2,1
46,1,20,1,1,1,1,1,1,2,3,2,2
47,2,19,1,2,1,2,1,1,2,4,1,2
48,1,19,1,1,1,2,2,2,2,3,1,2
49,1,20,1,2,2,1,2,2,2,1,1,1
50,1,19,1,1,1,1,1,2,2,2,1,2
51,1,20,1,2,1,1,1,1,2,4,1,2
52,2,19,1,1,1,1,1,1,2,4,1,2
53,1,19,2,1,1,2,1,1,2,4,1,2
54,1,22,2,2,2,2,1,2,2,3,1,2
55,1,19,2,2,1,2,1,1,2,3,1,1
56,1,23,2,2,1,2,1,1,2,3,2,1
57,1,19,2,1,1,2,1,1,1,4,1,2
58,1,24,2,1,1,2,1,1,2,4,1,2
59,1,19,2,2,1,2,1,1,2,1,1,2
60,1,22,2,1,2,2,1,2,2,3,1,2
61,1,19,2,2,1,2,2,2,2,3,3,2
62,1,29,2,1,1,2,2,2,2,4,1,2
63,1,19,2,1,1,2,1,1,2,1,1,2
64,2,20,2,2,1,1,1,1,2,4,1,2
65,2,28,2,1,1,2,1,1,2,3,1,2
66,2,20,2,2,1,2,1,2,2,3,1,1
67,1,22,2,1,2,2,1,1,2,3,2,1
68,1,22,2,2,1,2,1,1,2,4,4,2
69,1,21,2,1,1,2,1,1,1,4,1,2
70,1,21,2,2,1,1,1,1,2,4,1,2
71,1,22,2,1,1,1,1,1,2,3,1,2
72,1,21,2,2,2,1,1,1,2,3,1,2
73,1,22,2,1,1,1,1,2,2,1,1,1
74,1,21,2,2,1,1,1,2,2,3,1,1
75,2,21,2,1,1,1,1,2,2,3,1,2
76,1,22,2,1,1,2,1,1,2,4,1,2
77,2,23,2,2,1,2,1,1,2,4,1,2
78,1,22,2,1,2,2,1,1,1,3,1,2
79,1,20,2,2,1,2,1,1,2,4,1,2
80,1,21,2,1,1,2,1,1,2,4,1,2
81,2,20,2,2,1,2,1,1,2,1,2,2
82,2,24,2,1,1,2,1,1,2,4,1,2
83,1,21,2,2,1,1,1,1,2,4,1,1
84,1,21,2,1,1,1,1,1,2,3,3,2
85,2,23,2,2,1,2,1,1,1,3,2,2
86,2,23,2,1,1,1,1,1,2,3,1,2
87,2,22,2,1,1,2,1,2,2,4,1,2
88,1,20,2,2,1,2,1,2,2,1,1,2
89,1,20,2,1,1,1,1,2,2,4,2,2
90,1,20,2,2,1,1,1,1,2,3,1,2
91,1,20,2,1,1,1,1,1,2,3,1,2
92,2,19,2,1,1,2,1,1,2,4,2,2
93,1,20,2,2,1,1,1,1,2,4,1,2
94,1,20,2,1,1,2,1,1,2,1,1,2
95,1,21,2,1,1,2,1,1,2,4,1,2
96,1,20,2,1,1,2,1,2,2,3,1,1
97,1,21,2,1,1,1,1,1,2,3,1,1
98,2,20,2,1,1,1,1,1,2,4,1,2
99,1,21,2,1,1,1,1,1,2,1,2,2
100,2,20,2,1,1,1,1,1,2,4,2,2
101,1,20,2,1,1,1,1,1,2,3,2,2
102,2,19,2,1,1,2,1,1,1,3,1,2
103,1,20,2,1,1,1,1,2,2,4,1,1
104,1,20,2,1,1,1,1,2,2,1,1,1
105,2,20,3,1,1,2,2,2,2,3,1,2
106,2,20,3,2,1,1,1,2,2,3,1,2
107,2,20,3,1,1,1,1,1,2,3,1,2
108,2,22,3,2,1,2,1,1,2,2,1,2
109,2,21,3,1,1,1,1,1,1,3,1,2
110,2,21,3,1,1,2,1,1,2,3,2,2
111,2,19,3,1,1,1,1,2,2,4,1,1
112,2,19,3,1,1,1,1,1,2,4,1,1
113,1,19,3,1,1,2,1,1,2,4,1,2
114,1,18,3,1,1,1,1,1,2,4,1,2
115,1,18,3,1,1,1,1,1,2,4,1,2
116,1,19,3,1,1,1,1,1,2,4,2,2
117,1,20,3,1,1,1,1,1,2,4,4,2
118,1,20,3,1,1,2,1,1,2,3,3,1
119,1,18,3,1,1,2,1,1,2,4,2,1
120,1,20,3,2,2,1,1,2,2,4,1,1
121,1,21,3,1,1,1,1,1,2,4,1,1
122,1,19,3,1,1,2,1,2,2,2,1,1
123,1,19,3,1,1,2,1,2,2,3,1,2
124,1,20,3,1,1,1,1,1,2,3,1,2
125,1,20,3,1,1,2,1,1,2,3,1,2
126,1,19,3,1,1,2,1,1,2,3,1,2
127,1,21,3,1,1,1,1,1,2,4,1,2
128,1,19,3,2,1,2,1,1,2,1,1,2
129,1,21,3,1,1,1,1,2,2,2,1,2
130,1,19,3,2,1,2,1,1,2,3,1,2
131,1,20,3,2,1,2,1,1,2,3,1,2
132,1,20,3,1,1,2,1,1,2,3,2,2
133,2,18,3,1,1,2,1,1,2,4,2,1
