NOMBRE_CARDENAL,PAIS_ORIGEN,CONTINENTE,AYO_PARTICIPACION,EDAD_PARTICIPAR,SEDE
Giuseppe Melchiorre Sarto,380,4,1903,68,1
Luigi Oreglia di Santo Stefano,380,4,1903,67,1
Vicenzo Vanutelli ,380,4,1903,75,1
Mariano Mocenni,380,4,1903,80,0
Malagola Amilcare,380,4,1903,63,0
Di Pietro Angelo ,380,4,1903,75,0
Sanz y Fores Benito ,724,4,1903,75,0
Meignan Guillaume Rene ,250,4,1903,86,0
Thomas Leon Benoit Charles,250,4,1903,77,0
Krementz Philipp,276,4,1903,84,0
Persico O.F.M Cap.Ignazio,380,4,1903,80,0
Galimberti Luigi,380,4,1903,68,0
Francesco di Paola Satolli ,380,4,1903,64,0
Antonio Agliardi ,380,4,1903,71,0
Jose Sebastiao Neto ,620,4,1903,61,1
Alonso Capacelatro,250,4,1903,79,1
Benoit-Marie Langenieux ,240,4,1903,79,1
James Gibbons ,840,2,1903,69,1
Mariano Rompolla del Tindaro ,380,4,1903,60,1
Francois-Marie-Benjamin Richard de la Vergne ,250,4,1903,84,0
Pierre- Lambert Goosens ,56,4,1903,76,1
Anton Joseph Gruscha ,40,4,1903,83,1
Angelo de Pietro ,380,4,1903,75,1
Michael Logue ,380,4,1903,63,1
Kolos Ferenc Vaszary ,348,4,1903,71,1
Georg von Kopp,276,4,1903,66,1
Adolph-Louis-Albert ,250,4,1903,75,1
Victor-Lucien-Sulpice Lecot,250,4,1903,72,1
Ciriaco Maria Sancha y Hervas ,724,4,1903,70,1
Domenico Svampa ,380,4,1903,52,1
Andrea Carlo Ferrari,380,4,1903,53,0
Giralomo Maria Gotti ,380,4,1903,69,0
Salvador Casañas y Pages ,724,4,1903,69,0
Achille Manarca,380,4,1903,76,0
Domenico Ferrata ,380,4,1903,56,0
Serafino Cretoni,380,4,1903,70,0
Giuseppe Prisco ,380,4,1903,70,0
Jose Maria de Herrera y de la iglesia,724,4,1903,68,0
Pierre-Hector Coullli,250,4,1903,74,0
Giovanni Bautissta Casali del Drago,380,4,1903,65,1
Francesco di Paola Satolli Casseta ,380,4,1903,62,0
Giuseppe Francica-Nava di Bontife,380,4,1903,57,1
Gennaro Portanova,380,4,1903,58,0
Francois-Desire Mathieu,250,4,1903,64,1
Pietro Respigh,380,4,1903,60,0
Agostino Richelmy,380,4,1903,53,0
Alessandro Sanminiatelli Zabarella,380,4,1903,63,1
Sebastiano Martinelli,380,4,1903,55,0
Casimiro Gennari ,380,4,1903,64,0
Lev Skrbensky z Hriste  ,348,4,1903,40,0
Giulio Boschi,380,4,1903,65,0
Jan Puzyna,348,4,1903,61,1
Bartolome Bacilieri,380,4,1903,61,1
Carlo Nocella ,380,4,1903,77,1
Beniamino Cabicchione,380,4,1903,67,1
Andrea Aiuti,380,4,1903,54,1
Emidio Taliani,380,4,1903,65,1
Sebastián Guerrero y Monteros  Espinoza de los ,724,4,1903,81,0
Johannes Katschtraler,40,4,1903,71,0
Antonius Hubert Fischer,276,4,1903,63,0
Luigi Macchi,380,4,1903,71,0
Andreas Steinhuber,276,4,1903,79,0
Francesco Segna,380,4,1903,67,0
Raffaele Pierotti,380,4,1903,67,1
Francesco Salesio della Volpe,380,4,1903,59,1
José de Calasanz Vives y Tutó,380,4,1903,49,1
Luigi Tripepi,380,4,1903,67,1
Felice Cavagnis,380,4,1903,62,1
Giacomo della Chiesa,380,4,1914,56,0
Pietro Maffi,380,4,1914,56,0
Basilio Pompijl,380,4,1914,56,1
Rafael Merry de Val,826,4,1914,49,1
Domenico Serafini,380,4,1914,62,1
Domenico Ferrata,380,4,1914,33,1
Bartolomeo Bacilieri,76,2,1914,68,1
Pietro Gasparry,380,4,1914,62,1
Diomede Falcorio,380,4,1914,72,0
Antonio Agliardi,380,4,1914,82,1
Andrea Carlo Ferrari,380,4,1914,64,0
Francesco Salesio Della Volpe,380,4,1914,70,1
Gaetano de Lai,380,4,1914,61,1
Giuseppe Francica-Nava de Bontifè,380,4,1914,68,0
Agostino Riechielmy,380,4,1914,64,0
Willem Marinus van Rossum,150,4,1914,60,0
Gaetano Bisleti,380,4,1914,58,0
Agostino Richelmy,380,4,1914,53,0
Ottavio Cagiano de Azevedo,380,4,1914,69,1
Filippo Giustini,380,4,1914,62,1
Girolamo Maria Gotti ,380,4,1914,80,1
Michele Lega ,380,4,1914,54,1
Benedetto Lorenzelli,380,4,1914,61,1
Rafael Merry del Val,380,4,1914,65,1
Francesco di Paola Cassetta,380,4,1914,73,1
Aristide Rinaldini ,380,4,1914,70,1
Scipione Tecchi,380,4,1914,60,0
Serafino Vannutelli ,380,4,1914,80,0
Vincenzo Vannutelli,380,4,1914,78,0
Giulio Boschi ,380,4,1914,76,0
Aristide Cavallari ,380,4,1914,65,0
Diomede Falconio,380,4,1914,72,0
Gennaro Granito Pignatelli di Belmonte ,380,4,1914,63,0
Alessandro Lualdi,380,4,1914,56,0
Léon-Adolphe Amette ,250,4,1914,64,0
Pierre Andrieu ,250,4,1914,93,0
Louis Billot,250,4,1914,68,0
Louis Luçon ,250,4,1914,72,0
François de Rovérié de Cabrières,250,4,1914,84,0
Héctor Sévin ,250,4,1914,62,0
Enrique Almaraz y Santos,724,4,1914,67,0
José Cos y Macho,724,4,1914,76,0
Victoriano Guisasola y Menendez,724,4,1914,62,0
José María Martín de Herrera y de la Iglesia,724,4,1914,79,0
János Csernoch ,40,4,1914,62,0
Károly Hornig ,40,4,1914,74,0
Friedrich Gustav Piffl,40,4,1914,50,0
Lev Skrbenský z Hříště,40,4,1914,51,0
Francis Bourne,826,4,1914,53,0
Michael Logue ,826,4,1914,74,0
Francis Aidan Gasquet ,826,4,1914,68,0
Franziskus von Bettinger ,276,4,1914,64,0
Felix von Hartmann ,276,4,1914,63,0
José Sebastião d'Almeida Neto,620,4,1914,73,0
António Mendes Bello ,620,4,1914,72,0
Désiré-Joseph Mercier,56,4,1914,63,0
Joaquim Arcoverde de Albuquerque Cavalcanti,76,2,1914,64,0
John Murphy Farley,840,2,1914,72,0
Vincenzo Vannutelli,380,4,1922,86,0
Gaetano De Lai ,380,4,1922,69,1
Antonio Vico ,380,4,1922,75,1
Gennaro Granito Pignatelli di Belmonte,380,4,1922,71,0
Basilio Pompilj,380,4,1922,64,1
Giovanni Cagliero,380,4,1922,84,0
Michael Logue ,372,4,1922,82,0
Giuseppe Francica-Nava de Bontifè ,380,4,1922,76,0
Agostino Richelmy,380,4,1922,72,0
Bartolomeo Bacilieri,380,4,1922,80,0
Rafael Merry del Val y Zulueta,724,4,1922,57,1
Ottavio Cagiano de Azevedo,380,4,1922,77,0
Pietro Maffi,380,4,1922,64,0
Alessandro Lualdi,380,4,1922,64,1
Désiré Felicien François Joseph Mercier,56,4,1922,71,0
Pietro Gasparri,380,4,1922,70,1
Louis-Henri-Joseph Luçon,250,4,1922,80,0
Paulin-Pierre Andrieu,250,4,1922,73,0
António Mendes Bello,620,4,1922,80,0
Francis Alphonsus Bourne,826,4,1922,61,0
Willem Marinus van Rossum,528,4,1922,68,1
János Csernoch,348,4,1922,70,0
Friedrich Gustav Piffl,40,4,1922,58,0
Alfonso Maria Mistrangelo,380,4,1922,70,0
Andreas Franz Frühwirth,40,4,1922,77,1
Raffaele Scapinelli di Leguigno,380,4,1922,64,1
Pietro La Fontaine,380,4,1922,62,1
Vittorio Amedeo Ranuzzi de’ Bianchi,380,4,1922,65,0
Donato Raffaele Sbarretti,380,4,1922,66,1
