G,R
148.1149,119.705
143.0517,92.1773
149.9867,120.6299
147.8461,101.3369
145.3764,105.7721
142.1682,96.7877
147.5892,120.5363
150.4116,92.6038
150.7602,106.1082
148.2564,94.7897
147.7216,118.6425
150.1008,81.0196
149.8285,111.8789
150.6855,92.8335
143.215,97.6737
142.3707,108.499
151.8874,88.8662
147.3838,112.1564
147.0791,97.7469
147.4126,102.8241
143.6459,108.2769
150.6,85.7862
148.6094,83.908
145.0203,77.2098
149.625,112.3256
151.9645,78.0622
147.5953,91.2216
143.6275,116.9524
148.9527,117.2639
148.2526,88.3287
146.7379,107.7493
150.0693,110.6954
150.6354,99.1196
147.6798,102.9486
151.7442,94.8202
151.2546,99.9817
145.7935,99.0195
145.5619,96.5904
149.575,83.8008
146.8409,91.773
