Mes,Volkswagen,Mercedes,Nucletron,Siemens ,Ferrari,Lamprell
enero,-0.0437,-0.0569,-0.0152,-0.0001,0.028,-0.0831
febrero,-0.1396,-0.0597,-0.0147,-0.039,-0.043,0.1043
marzo,0.0418,0.0113,0.0073,0.0037,0.0002,0
abril,-0.0228,-0.0123,-0.0109,0.0198,0.0086,0.0062
mayo,0.034,0.005,-0.0176,-0.0032,0.0021,0.1065
junio,0.0123,0.0001,0.0105,0.0067,-0.0245,0.0548
julio,0.0085,0.0229,12.448,-0.0295,0.0002,0.0381
agosto,0.0168,-0.0311,-12.621,-0.0033,0.0052,0.0574
septiembre,-0.0004,-0.0483,0.0103,0.005,-0.052,-0.037
octubre,0.0788,0.0141,-0.0137,-0.0031,-0.0544,0.0325
noviembre,-0.0405,-0.0141,-0.0713,-0.0337,0.0093,-0.0387
