Mes;Volkswagen;Mercedes;Nucletron;Siemens ;Ferrari;Lamprell;Bayerische;AT&T;Coca-Cola;Altria
enero;-0.0437;-0.0569;-0.0152;-0.0001;0.028;-0.0831;-0.0091;0.0038;-0.0079;-0.0272
febrero;-0.1396;-0.0597;-0.0147;-0.039;-0.043;0.1043;-0.0925;-0.0416;-0.0428;-0.0799
marzo;0.0418;0.0113;0.0073;0.0037;0.0002;0;0.0256;-0.0004;0.0021;0.054
abril;-0.0228;-0.0123;-0.0109;0.0198;0.0086;0.0062;-0.0169;0.0291;-0.0075;-0.0202
mayo;0.034;0.005;-0.0176;-0.0032;0.0021;0.1065;-0.0129;-0.0004;0.0007;0.0035
junio;0.0123;0.0001;0.0105;0.0067;-0.0245;0.0548;0.0272;0.0073;-0.0253;-0.0054
julio;0.0085;0.0229;12.448;-0.0295;0.0002;0.0381;0.0186;0.0115;0.0038;-0.02
agosto;0.0168;-0.0311;-12.621;-0.0033;0.0052;0.0574;-0.0127;-0.0056;0.0196;0.0312
septiembre;-0.0004;-0.0483;0.0103;0.005;-0.052;-0.037;-0.0229;0.0274;-0.0284;0.0137
octubre;0.0788;0.0141;-0.0137;-0.0031;-0.0544;0.0325;0.0114;0.0394;0.0146;0.0039
noviembre;-0.0405;-0.0141;-0.0713;-0.0337;0.0093;-0.0387;-0.0176;-0.0345;-0.0442;-0.0415
