Palabra,Frecuencia
no,371
mejor,41
solo,34
gracias,22
jajaja,18
grande,16
jaja,13
bueno,12
acuerdo,12
ganar,12
seguro,11
claro,10
caro,10
mal,9
pasado,8
peor,8
difícil,8
llegar,7
esperar,7
tiempo,7
errores,7
favor,7
pobre,6
gratis,6
perdedor,6
fracaso,6
tipo,6
querer,6
sí,6
feliz,6
mierda,6
increíble,6
pena,6
vergüenza,5
error,5
pierde,5
puta,5
culpa,5
saludos,5
seducir,5
burla,4
malo,4
perder,4
suerte,4
cierto,4
engaña,4
excelente,4
puto,4
serio,4
importante,3
paz,3
tranquilo,3
enorme,3
sucio,3
bomba,3
claramente,3
problemas,3
poderoso,3
fracasos,3
sorprende,3
listo,3
ganador,3
chupar,3
ridículo,3
éxito,3
valor,3
esperando,3
convence,3
idiota,3
dejar,3
alegría,3
lástima,2
desastre,2
presión,2
disculpa,2
ignorancia,2
asco,2
estafa,2
desgracia,2
popular,2
perdió,2
sueño,2
rico,2
importar,2
contratar,2
novela,2
oportunidad,2
apoyo,2
cáncer,2
estupendo,2
burro,2
bendice,2
estimado,2
ánimo,2
falla,2
fuerte,2
glorioso,2
amor,2
exitoso,2
perdido,2
ganando,2
extraño,2
rápido,2
enemigo,2
crisis,2
orgulloso,2
debilidad,2
sincero,2
problema,2
lamentable,2
sensación,2
guerra,2
fiasco,1
batalla,1
posibilidades,1
aceptar,1
deseo,1
frustrado,1
saludo,1
mayor,1
terrible,1
risa,1
viola,1
crítico,1
negociar,1
duda,1
exigente,1
novato,1
motivación,1
bonito,1
maravilla,1
emergencia,1
matar,1
gustos,1
estúpido,1
culpable,1
delito,1
atractivo,1
aficionado,1
milagro,1
agradable,1
oportunidades,1
sufrir,1
querido,1
fácil,1
soltar,1
contaminar,1
capaz,1
moda,1
aburrido,1
enojado,1
farsa,1
cargas,1
insulto,1
miedo,1
obsesionado,1
golpe,1
autoridad,1
perra,1
beneficios,1
murió,1
catástrofe,1
dudas,1
roto,1
inteligente,1
puesto,1
aborrece,1
daño,1
alegremente,1
inútil,1
renuncia,1
odiado,1
amado,1
cariño,1
garantía,1
humillado,1
pérdida,1
felicitar,1
felicidades,1
subestimar,1
dolor,1
justicia,1
imbécil,1
ganado,1
impresionante,1
culo,1
disfrutando,1
