Tweet,clasif
   si no lo hace aquí ya no me importa,negativo
 vamosamerica ,neutral
    mufe a fidalgo,neutral
     jajajaja jaja no sean ogts,positivo
  con que poquito les endulza el oido el  y el  al final van a traer a otros 4 troncazos de laterales y no a los que estan abarajados y si traen a kevin alvarez van a romper el vestuario con su socio el reyes y el delantero que traigan va a ser un fiasco,negativo
   jajajajaj mira quién habla el que se aventó 23 años para volver a ser campeón,neutral
rt  federico viñas pasa al león  con esto se abre otra plaza de extranjero en ,neutral
  no logro entender como nos eliminaron,negativo
 ya vienes al  ,neutral
     como si lo fueras a pagar tú ,neutral
rt     les ves caras de italianos a estos cabr0nes ,neutral
   amigos no creo por un traspaso se deben estar haciendo estos movímientos  quizás por kevin,negativo
rt  primer refuerzo de  via  ,neutral
"   ya denle un rato al america total que puede pasar 
este como ya lo odian como comentarista la neta quiere cambiar de aires  
por su boca no tarda en estar como payaso en los semáforos cuando lo echen",negativo
rt      israel reyes y kevin alvarez después de hacer un trio con nailea,neutral
     hahahahahaha,neutral
     al rato como córdoba y vigon ,neutral
rt  sería mucho pedir a kevin alvarez casi cerrado y compitiendo por la titularidad a barbosa por supuesto que se vaya layún,neutral
 me gusta para el   para tapar la baja de aquino,neutral
  a donde se va o que,neutral
"rt  sorpresa amigos del  kevin alvarez se vestiría de águila 
qué opinan ",neutral
  no,negativo
   si no es quiñones yo rescatataría a ibáñez de tigres,negativo
    comoquiera van a vv en tu estadio y con tu gente seguiremos siendo los mejores de mty así traigan a pep guardiola siempre nos pelaran toda la v jajajajaja son la vergüenza y burla de mty rayados perdedores,negativo
  es su momento,neutral
   esta semana soy más tigre que batocletti y dueñas,neutral
rt  gracias  por dejarme ser parte de tu historia gracias a los jugadores a la directiva a todos los empleados,positivo
  la verdad no,negativo
vete a la verga  ya llevo como tres días sin dormir bien no mamen salen con sus mamadas de seguro todo arregladote todo mal se vió bien falso no era para que acabara así no mamen ya son muchas chingaderas y siempre los mismo no es normal,negativo
    ojala se refuersen bien para que puedan dar batalla en liguilla por que los que tienen se cagan ,negativo
aún siguen escondidos y avergonzados los de el  jejejeje ,neutral
   salados y eres de cruz azul jajaja tantita madre güey,positivo
   porfa él pans y la utileros que le van a dar a este técnico que sea talla caguama jajaja pobre sabe que es tan malo como comentarista y que lo estamos destrozando por todos lados que ya quiere mejor ser dt,positivo
    jaja la opinión de un porro que se cree universitario no vale lárgate a bañar mariguano apestas a tacos de canasta y thinner,positivo
es semana de final del futbol mexicano y los tt s en tuiter desde el domingo son acerca del ave acaso a nadie le importa quien sea campeón hasta el  su portada hoy fue sobre el ,neutral
  regresa tano,neutral
    hubiera estado mejor barbosa de atlas  y a menos precio kevin jugo mal el torneo pasado y su carta está muy inflada  pero ya se adquirió un posición importante  falta defensa central y un recambio bueno en la delantera,positivo
 cámara ,neutral
  aquí es ,neutral
 traigan al fantasmita  ,neutral
     a nadie le importan los equipos regios excepto a los regios  ya kyncn,neutral
  alfredo tena,neutral
demasiado humo aunque parece ser que en esta ocasión nadie pero nadie sabe cienciacierta que pasara con las salidas y llegadas en el  todo mundo esta tirando nombres he información confirmada a ver cual es la que pega,neutral
  diego valdés y cáceres serían ventas a europa no son moneda de cambio en liga mx,negativo
 el próximo dt debe ser nagelsmann o gallardo jamás en la vida diego alonso,neutral
