time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-14T21:27:13.544Z,14.2041,-92.9391,35,4.6,mb,50,139,3.08,0.54,us,us6000k4ke,2023-04-14T21:48:42.040Z,"79 km SW of Puerto Madero, Mexico",earthquake,8.57,1.957,0.041,174,reviewed,us,us
2023-04-13T17:20:21.825Z,24.0999,-108.7615,10,4.9,mb,103,156,3.976,0.62,us,us6000k447,2023-04-14T16:31:55.075Z,"100 km ENE of La Rivera, Mexico",earthquake,5.63,1.859,0.032,323,reviewed,us,us
2023-04-09T18:27:57.788Z,13.9605,-92.4262,35,4.5,mb,67,109,2.57,0.88,us,us6000k33w,2023-04-19T16:26:10.040Z,"Near the coast of Guatemala",earthquake,8.5,1.94,0.039,194,reviewed,us,us
2023-04-06T21:38:18.454Z,15.2586,-93.2611,71.698,4.9,mb,99,88,5.583,0.57,us,us6000k2j4,2023-04-16T23:49:17.593Z,"23 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,8.35,5.859,0.031,316,reviewed,us,us
2023-04-04T02:11:58.144Z,16.1556,-96.9475,29.61,5.4,mww,105,78,2.088,0.54,us,us6000k1uw,2023-04-19T15:08:18.381Z,"11 km SW of San Jerónimo Coatlán, Mexico",earthquake,8.25,3.425,0.043,53,reviewed,us,us
2023-03-31T04:12:39.700Z,17.6543,-94.402,160.729,4.6,mb,50,109,2.562,0.88,us,us6000k114,2023-03-31T04:56:38.013Z,"26 km NNE of Niños Héroes, Mexico",earthquake,3.7,8.491,0.037,224,reviewed,us,us
2023-03-30T15:46:16.321Z,17.0581,-99.8807,23.544,4.6,mb,74,210,1.352,0.38,us,us6000k0wi,2023-03-30T21:25:25.847Z,"2 km N of Ocotillo, Mexico",earthquake,10.04,8.73,0.038,214,reviewed,us,us
2023-03-22T15:27:02.331Z,16.7326,-99.1618,23.743,4.5,mb,63,176,0.03,0.72,us,us6000k0az,2023-04-20T05:06:03.040Z,"4 km WNW of Cruz Grande, Mexico",earthquake,3.29,6.112,0.09,36,reviewed,us,us
2023-03-18T04:31:18.563Z,22.1938,-108.5891,10,4.5,mb,54,104,1.941,0.9,us,us7000jl0w,2023-04-07T05:16:23.040Z,"146 km SE of La Playa, Mexico",earthquake,9.41,1.693,0.035,246,reviewed,us,us
2023-03-15T06:36:25.088Z,18.5084,-106.7188,10,4.5,mb,70,104,2.576,1.25,us,us7000jk0l,2023-04-13T10:35:29.040Z,"206 km SW of José María Morelos, Mexico",earthquake,7.07,1.863,0.048,129,reviewed,us,us
2023-03-14T02:55:35.796Z,14.3489,-93.2462,10,4.5,mb,75,134,1.1,0.94,us,us7000jjqm,2023-04-18T23:35:00.040Z,"97 km WSW of Puerto Madero, Mexico",earthquake,5.82,1.787,0.039,197,reviewed,us,us
2023-03-13T18:49:26.603Z,18.0688,-105.9369,10,4.5,mb,73,157,2.369,0.85,us,us7000jjld,2023-04-13T14:52:23.040Z,"178 km SW of Emiliano Zapata, Mexico",earthquake,4.3,1.952,0.042,170,reviewed,us,us
2023-03-12T04:39:10.873Z,13.7279,-90.6621,69.591,4.6,mb,57,99,0.815,0.81,us,us7000jjah,2023-04-18T22:16:19.040Z,"23 km SSE of Iztapa, Guatemala",earthquake,5.9,5.256,0.031,319,reviewed,us,us
2023-03-09T12:01:36.021Z,17.0253,-95.0823,106.622,4.7,mb,73,59,0.201,0.83,us,us7000jifx,2023-04-19T13:02:28.040Z,"3 km ENE of Encinal Colorado, Mexico",earthquake,2.75,4.93,0.04,186,reviewed,us,us
2023-03-09T04:22:44.388Z,15.4837,-92.8591,108.761,4.9,mb,105,75,0.41,0.82,us,us7000jidj,2023-04-13T04:33:38.040Z,"7 km NE of Mapastepec, Mexico",earthquake,2.47,3.921,0.025,506,reviewed,us,us
2023-03-02T11:58:51.432Z,14.3498,-93.7288,10,4.6,mb,60,91,1.434,1,us,us7000jgsx,2023-04-12T13:15:36.040Z,"135 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,5.23,1.532,0.046,142,reviewed,us,us
2023-03-02T04:40:43.135Z,16.2561,-94.4102,95.635,5.7,mww,156,55,0.946,0.9,us,us7000jgr1,2023-04-06T04:48:33.548Z,"13 km SE of San Francisco Ixhuatan, Mexico",earthquake,4.25,3.475,0.031,97,reviewed,us,us
2023-02-28T19:44:35.014Z,13.6225,-90.7353,63.847,5.2,mww,210,74,0.933,0.82,us,us7000jgbl,2023-04-07T15:46:42.040Z,"34 km S of Iztapa, Guatemala",earthquake,6.28,3.744,0.043,52,reviewed,us,us
2023-02-28T10:51:23.575Z,13.9552,-92.9879,10,4.5,mb,91,161,1.178,0.62,us,us7000jg81,2023-04-12T16:25:26.040Z,"104 km SW of Puerto Madero, Mexico",earthquake,8.9,1.937,0.051,110,reviewed,us,us
2023-02-26T21:35:02.971Z,15.2753,-104.6608,10,4.5,mb,63,152,5.444,0.94,us,us6000jrsv,2023-03-19T22:51:04.040Z,"off the coast of Michoacan, Mexico",earthquake,8.77,1.927,0.038,204,reviewed,us,us
2023-02-25T06:51:38.403Z,15.4112,-104.5171,10,4.7,mb,78,203,4.007,0.66,us,us6000jrhz,2023-03-12T07:53:04.040Z,"off the coast of Michoacan, Mexico",earthquake,10.69,1.957,0.054,103,reviewed,us,us
2023-02-23T08:27:11.563Z,15.1557,-104.5558,10,4.6,mb,63,200,5.481,0.5,us,us6000jqzl,2023-03-15T12:22:05.040Z,"off the coast of Michoacan, Mexico",earthquake,10.22,1.83,0.055,98,reviewed,us,us
2023-02-16T10:29:04.966Z,32.7456665,-100.6594179,7.849975586,4.7,ml,33,48,0.08525345248,0.3,tx,tx2023dgvx,2023-04-05T16:36:46.145Z,"15 km NE of Hermleigh, Texas",earthquake,1.270893694,2.612447472,0.1,16,reviewed,tx,tx
2023-02-08T15:16:16.982Z,16.7337,-86.0574,10,5.5,mww,201,22,2.908,0.55,us,us6000jmhm,2023-04-15T21:39:48.040Z,"north of Honduras",earthquake,6.18,1.777,0.034,84,reviewed,us,us
2023-02-08T02:24:12.957Z,15.1737,-94.7611,10,4.6,mb,86,92,1.578,0.83,us,us6000jmen,2023-04-15T21:39:46.040Z,"",earthquake,4.77,1.822,0.035,250,reviewed,us,us
2023-02-06T17:33:46.677Z,16.5957,-98.1903,11.021,4.5,mb,80,125,0.67,1.03,us,us6000jlyh,2023-04-15T21:39:39.040Z,"4 km WSW of San Juan Cacahuatepec, Mexico",earthquake,3.02,4.161,0.055,95,reviewed,us,us
2023-02-05T09:06:30.156Z,16.8301,-99.7892,22.002,4.5,mb,55,129,0.088,0.64,us,us6000jljd,2023-04-15T21:39:32.040Z,"1 km W of Tres Palos, Mexico",earthquake,4.68,6.123,0.091,35,reviewed,us,us
2023-02-02T17:42:18.946Z,14.0205,-91.4021,74.172,4.7,mb,130,89,1.013,0.56,us,us6000jl0g,2023-04-13T21:53:19.040Z,"22 km SSW of Nueva Concepción, Guatemala",earthquake,5.64,5.062,0.03,331,reviewed,us,us
2023-01-21T20:36:03.215Z,13.6541,-90.508,70.498,4.5,mb,17,161,0.749,0.46,us,us6000jjqy,2023-03-31T19:43:52.040Z,"37 km SE of Iztapa, Guatemala",earthquake,4.65,9.065,0.205,7,reviewed,us,us
2023-01-16T04:47:12.256Z,14.0805,-89.8596,7.997,5,mww,143,127,0.193,0.62,us,us7000j4mi,2023-03-31T19:44:33.040Z,"6 km ESE of Comapa, Guatemala",earthquake,4.52,4.2,0.052,35,reviewed,us,us
2023-01-15T23:07:53.815Z,14.0226,-89.7977,10,5.2,mww,105,68,0.121,0.81,us,us7000j4ld,2023-03-31T19:44:30.040Z,"7 km NW of Atiquizaya, El Salvador",earthquake,6.56,1.799,0.078,16,reviewed,us,us
2023-01-15T02:37:58.151Z,16.0898,-87.501,10,4.5,mb,21,68,2.033,0.72,us,us7000j4gd,2023-03-31T19:44:19.040Z,"35 km N of Tela, Honduras",earthquake,6.83,1.896,0.077,50,reviewed,us,us
2023-01-05T15:27:38.116Z,14.2773,-94.0954,10,5.2,mww,197,79,2.746,0.93,us,us7000j2ce,2023-03-11T22:51:41.040Z,"163 km SW of La Esperanza (El Zapotal), Mexico",earthquake,7.19,1.721,0.044,49,reviewed,us,us
2023-01-01T19:37:15.835Z,15.7411,-92.2028,199.949,4.6,mb,95,67,0.541,0.73,us,us7000j1gs,2023-03-11T22:51:30.040Z,"",earthquake,6.37,4.897,0.039,195,reviewed,us,us
2022-12-31T15:38:53.489Z,15.2401,-93.3171,74.482,4.7,mb,55,127,0.472,0.89,us,us7000j19l,2023-03-07T19:00:02.040Z,"28 km SW of La Esperanza (El Zapotal), Mexico",earthquake,5.51,5.311,0.033,279,reviewed,us,us
2022-12-30T15:35:47.097Z,18.2186,-103.3672,10,4.7,mb,47,103,1.162,1.17,us,us7000j12p,2023-03-07T19:00:00.040Z,"41 km SE of La Placita de Morelos, Mexico",earthquake,5.3,1.9,0.05,123,reviewed,us,us
2022-12-24T17:23:49.211Z,23.6368,-108.5983,10,4.5,mb,80,139,1.235,1.15,us,us6000jbgr,2023-03-07T18:59:45.040Z,"100 km E of La Rivera, Mexico",earthquake,4.96,1.865,0.053,103,reviewed,us,us
